Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
pachyderm/examples,https://github.com/pachyderm/examples,False,2020-09-21 20:40:44,A curated list of examples that use Pachyderm to accomplish various tasks.,[],37,29,10,2,7,Jupyter Notebook,243460,3,2,15,2,179,0,0,0
dwhitena/pach-go-regression,https://github.com/dwhitena/pach-go-regression,False,2017-04-18 20:52:34,Go-based linear regression in Pachyderm,[],10,1,3,0,1,Go,117,0,0,1,0,13,0,0,0
apachecn/apachecn-golang-zh,https://github.com/apachecn/apachecn-golang-zh,False,2021-10-22 16:48:31,,[],37,4,4,0,1,JavaScript,37244,0,0,2,0,71,2,0,82
icerove/movie_recommand_pipeline,https://github.com/icerove/movie_recommand_pipeline,False,2019-05-09 21:21:17,,[],6,0,0,0,1,Python,13,0,0,1,0,1,0,0,0
dvoitekh/mlops_workshops,https://github.com/dvoitekh/mlops_workshops,False,2022-06-08 18:57:30,,[],9,3,7,0,1,Jupyter Notebook,1236,0,0,2,0,10,0,0,0
NEONScience/NEON-IS-data-processing,https://github.com/NEONScience/NEON-IS-data-processing,False,2019-10-31 21:55:05,Next generation data processing algorithms and pipeline components for (most) NEON TIS and AIS data products.,[],9,14,6,0,14,R,24044,0,0,15,0,2731,2,0,0
sil-ai/tts-singlish,https://github.com/sil-ai/tts-singlish,False,2020-01-11 16:59:44,"TTS for Singlish using Tacotron2, the IMDA corpus, and Pachyderm.","['speech-synthesis', 'artificial-intelligence', 'neural-network', 'voice-synthesis', 'deep-learning', 'machine-learning']",7,4,2,0,1,Python,250,0,0,1,0,9,0,0,0
red-hat-data-services/ods-ci,https://github.com/red-hat-data-services/ods-ci,False,2020-12-11 20:35:15,odh qe tier tests,[],6,9,38,17,22,RobotFramework,7775,38,24,32,18,856,8,0,0
pachyderm/ambient-music-generation,https://github.com/pachyderm/ambient-music-generation,False,2020-04-09 13:32:35,,[],102,8,19,0,2,Dockerfile,414861,2,0,6,0,42,0,0,0
UbiOps/tutorials,https://github.com/UbiOps/tutorials,False,2020-12-02 13:08:44,UbiOps Tutorials,[],7,2,2,0,1,Jupyter Notebook,36460,1,0,1,0,1,0,0,0
SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,False,2017-12-20 14:51:54,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models","['kubernetes', 'machine-learning', 'deployment', 'serving', 'mlops', 'aiops', 'machine-learning-operations', 'production-machine-learning']",3423,77,715,49,147,HTML,220754,169,20,304,93,7171,20,0,6455
PipelineAI/pipeline,https://github.com/PipelineAI/pipeline,False,2015-07-08 03:49:23,PipelineAI Kubeflow Distribution,"['machine-learning', 'artificial-intelligence', 'tensorflow', 'kubernetes', 'cassandra', 'spark', 'kafka', 'airflow', 'docker', 'redis', 'neural-network', 'gpu', 'pipelineai', 'tfx', 'keras', 'kubeflow', 'pytorch', 'scikit-learn']",4141,350,989,0,2,Jsonnet,94806,1,0,1,0,610,2,0,649
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,False,2020-06-26 22:38:06,This repository contains example integrations between Determined and other ML products,[],33,9,16,0,8,Python,21491,2,1,11,0,107,0,0,0
JimmyWhitaker/label-studio-pach,https://github.com/JimmyWhitaker/label-studio-pach,False,2020-12-22 15:27:23,Label Studio + Pachyderm ,[],10,2,0,0,1,Python,338,0,0,2,0,14,0,0,0
pachyderm/kfdata,https://github.com/pachyderm/kfdata,False,2020-08-26 12:46:34,Prototype implementation of KFData proposal,[],5,12,0,0,1,Python,367,0,0,1,0,96,0,0,0
StatCan/aaw-contrib-jupyter-notebooks,https://github.com/StatCan/aaw-contrib-jupyter-notebooks,False,2020-04-10 03:23:02,Jupyter Notebooks to be used with Advanced Analytics Workspace platform,"['daaas', 'jupyter', 'notebooks', 'aaw', 'kubernetes']",8,12,8,0,11,Jupyter Notebook,6435,8,0,9,0,77,0,0,0
